id,plate,owner,car_model,insurance_company,start_date,end_date
C001,19오7777,Will Smith,Hyundai Avante,Samsung Fire & Marine,01 JAN 2026,01 JAN 2027
C002,154러7070,Emily Johnson,BMW m2,DB Insurance,15 FEB 2025,15 FEB 2026
C003,56다1234,Michael Brown,Genesis G80,NONE,-,-
C004,78라9012,Sarah Davis,Hyundai Sonata,Samsung Fire & Marine,10 MAR 2026,10 MAR 2027
C005,91마2345,David Wilson,Kia Sportage,DB Insurance,20 APR 2025,20 APR 2026
C006,25바6789,Jessica Miller,Genesis GV70,NONE,-,-
C007,63사4521,Daniel Moore,Hyundai Tucson,Samsung Fire & Marine,05 MAY 2026,05 MAY 2027
C008,47아8123,Olivia Taylor,Kia Sorento,DB Insurance,01 JUN 2025,01 JUN 2026
C009,82자1954,James Anderson,Genesis G90,NONE,-,-
C010,17가7238,Sophia Thomas,Hyundai Grandeur,Samsung Fire & Marine,15 JUL 2026,15 JUL 2027
C011,39나4827,William Jackson,Kia Carnival,DB Insurance,10 AUG 2025,10 AUG 2026
C012,64다9513,Emma White,Genesis GV80,NONE,-,-
C013,88라3147,Benjamin Harris,Kia EV6,Samsung Fire & Marine,01 SEP 2026,01 SEP 2027
C014,23마8642,Ava Martin,Hyundai Ioniq 5,DB Insurance,15 OCT 2025,15 OCT 2026
C015,51바2976,Lucas Thompson,Genesis G70,NONE,-,-
C016,73사6408,Mia Garcia,Kia K8,Samsung Fire & Marine,05 NOV 2026,05 NOV 2027
C017,95아1835,Ethan Martinez,Hyundai Palisade,DB Insurance,20 NOV 2025,20 NOV 2026
C018,41자7562,Charlotte Robinson,Genesis Electrified G80,NONE,-,-
C019,123가4567,Alexander Clark,Kia Niro,Samsung Fire & Marine,01 DEC 2026,01 DEC 2027
C020,234나5678,Amelia Rodriguez,Hyundai Kona,DB Insurance,05 JAN 2025,05 JAN 2026
C021,345다6789,Henry Lewis,Genesis GV60,NONE,-,-
